year,countmids
1816,1
1817,1
1818,1
1821,4
1822,1
1825,1
1826,3
1827,2
1828,1
1829,1
1830,1
1831,4
1832,1
1833,2
1834,1
1835,1
1836,3
1837,1
1838,3
1839,3
1840,1
1842,3
1843,2
1845,2
1846,3
1847,1
1848,4
1849,5
1850,6
1851,1
1852,4
1853,4
1854,5
1855,3
1856,7
1857,3
1858,4
1859,6
1860,6
1861,4
1862,5
1863,5
1864,4
1865,4
1866,5
1868,1
1869,2
1870,4
1871,4
1872,3
1873,4
1874,2
1875,4
1876,8
1877,3
1878,4
1879,2
1880,4
1881,3
1882,5
1883,4
1884,3
1885,6
1886,4
1887,4
1888,4
1889,2
1890,3
1891,5
1893,5
1894,1
1895,6
1896,6
1897,5
1898,7
1899,4
1900,5
1901,3
1902,6
1903,5
1904,3
1905,5
1906,4
1907,6
1908,5
1909,7
1910,5
1911,16
1912,10
1913,8
1914,18
1915,8
1916,12
1917,9
1918,17
1919,17
1920,11
1921,12
1922,8
1923,7
1924,2
1925,6
1926,7
1927,7
1928,3
1929,4
1930,1
1931,6
1932,6
1933,5
1934,9
1935,5
1936,6
1937,11
1938,12
1939,30
1940,45
1941,24
1942,15
1943,17
1944,9
1945,13
1946,6
1947,3
1948,8
1949,18
1950,16
1951,14
1952,13
1953,19
1954,17
1955,23
1956,14
1957,13
1958,30
1959,28
1960,27
1961,20
1962,23
1963,25
1964,19
1965,23
1966,24
1967,25
1968,21
1969,28
1970,9
1971,21
1972,16
1973,19
1974,21
1975,23
1976,25
1977,32
1978,23
1979,23
1980,27
1981,23
1982,31
1983,33
1984,33
1985,35
1986,39
1987,61
1988,28
1989,21
1990,11
1991,19
1992,21
1993,33
1994,34
1995,35
1996,33
1997,36
1998,21
1999,33
2000,27
2001,29
2002,37
2003,35
2004,32
2005,39
2006,25
2007,19
2008,28
2009,21
2010,19
