year,countmids,continent
1900,5,3
1901,3,7
1902,6,7
1903,5,7
1904,3,5
1905,5,5
1906,4,7
1907,6,7
1908,5,5
1909,7,3
1910,5,7
1911,16,7
1912,10,7
1913,8,7
1914,18,5
1915,8,5
1916,12,5
1917,9,7
1918,17,5
1919,17,5
1920,11,5
1921,12,5
1922,8,5
1923,7,5
1924,2,7
1925,6,5
1926,7,5
1927,7,3
1928,3,3
1929,4,7
1930,1,7
1931,6,3
1932,6,7
1933,5,3
1934,9,3
1935,5,3
1936,6,5
1937,11,3
1938,12,5
1939,30,5
1940,45,5
1941,24,0
1942,15,0
1943,17,0
1944,9,5
1945,13,0
1946,6,5
1947,3,3
1948,8,5
1949,18,3
1950,16,3
1951,14,3
1952,13,5
1953,19,5
1954,17,5
1955,23,5
1956,14,3
1957,13,3
1958,30,3
1959,28,3
1960,27,3
1961,20,3
1962,23,3
1963,25,3
1964,19,3
1965,23,3
1966,24,3
1967,25,3
1968,21,5
1969,28,3
1970,9,3
1971,21,1
1972,16,1
1973,19,1
1974,21,1
1975,23,3
1976,25,3
1977,32,1
1978,23,1
1979,23,3
1980,27,1
1981,23,3
1982,31,3
1983,33,3
1984,33,1
1985,35,1
1986,39,3
1987,61,1
1988,28,1
1989,21,1
1990,11,1
1991,19,3
1992,21,5
1993,33,5
1994,34,1
1995,35,5
1996,33,3
1997,36,3
1998,21,1
1999,33,3
2000,27,5
2001,29,3
2002,37,1
2003,35,3
2004,32,3
2005,39,3
2006,25,3
2007,19,3
2008,28,3
2009,21,3
2010,19,3
