yperiod,totalcountCouWars,totalSumTrade
"[1870, 1875]",10,11981
"[1876, 1880]",12,11705
"[1881, 1885]",14,12518
"[1886, 1890]",0,12069
"[1891, 1895]",4,12843
"[1896, 1900]",10,15527
"[1901, 1905]",4,18895
"[1906, 1910]",10,26495
"[1911, 1915]",30,20657
"[1916, 1920]",63,24587
"[1921, 1925]",5,55660
"[1926, 1930]",2,62824
"[1931, 1935]",18,33129
"[1936, 1940]",29,34034
"[1941, 1945]",86,12180
"[1946, 1950]",24,83634
"[1951, 1955]",55,157267
"[1956, 1960]",8,242396
"[1961, 1965]",9,301867
"[1966, 1970]",49,486192
"[1971, 1975]",40,1162177
"[1976, 1980]",23,2678610
"[1981, 1985]",14,3712220
"[1986, 1990]",16,5396814
"[1991, 1995]",13,9476257
"[1996, 2003]",17,22168005
