year,countCouWars
1823,2
1824,0
1825,0
1826,0
1827,0
1828,2
1829,2
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,2
1847,2
1848,6
1849,7
1850,0
1851,2
1852,2
1853,2
1854,4
1855,5
1856,6
1857,2
1858,0
1859,5
1860,5
1861,2
1862,2
1863,4
1864,7
1865,7
1866,19
1867,5
1868,3
1869,3
1870,8
1871,2
1872,0
1873,0
1874,0
1875,0
1876,2
1877,2
1878,2
1879,3
1880,3
1881,2
1882,4
1883,2
1884,2
1885,4
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,2
1895,2
1896,0
1897,2
1898,2
1899,0
1900,6
1901,0
1902,0
1903,0
1904,2
1905,2
1906,3
1907,3
1908,0
1909,2
1910,2
1911,2
1912,5
1913,5
1914,8
1915,10
1916,11
1917,14
1918,15
1919,13
1920,10
1921,3
1922,2
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,2
1930,0
1931,2
1932,4
1933,4
1934,4
1935,4
1936,2
1937,2
1938,3
1939,7
1940,15
1941,19
1942,17
1943,15
1944,18
1945,17
1946,0
1947,2
1948,8
1949,3
1950,11
1951,17
1952,17
1953,17
1954,2
1955,2
1956,6
1957,0
1958,2
1959,0
1960,0
1961,0
1962,2
1963,0
1964,0
1965,7
1966,6
1967,13
1968,8
1969,12
1970,10
1971,10
1972,7
1973,12
1974,5
1975,6
1976,4
1977,4
1978,7
1979,6
1980,2
1981,2
1982,6
1983,2
1984,2
1985,2
1986,2
1987,9
1988,5
1989,0
1990,0
1991,9
1992,0
1993,2
1994,2
1995,0
1996,0
1997,0
1998,2
1999,6
2000,2
2001,3
2002,0
2003,4
