year,countCouWars,batdths
1823,2,1000
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,2,130000
1829,2,130000
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,2,19283
1847,2,19283
1848,6,17354
1849,7,17227
1850,0,0
1851,2,1300
1852,2,1300
1853,2,145000
1854,4,462000
1855,5,564200
1856,6,566200
1857,2,2000
1858,0,0
1859,5,45000
1860,5,11000
1861,2,1000
1862,2,20000
1863,4,21000
1864,7,327414
1865,7,530400
1866,19,680200
1867,5,530000
1868,3,510000
1869,3,510000
1870,8,1170313
1871,2,196781
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,2,4000
1877,2,285000
1878,2,285000
1879,3,17144
1880,3,17144
1881,2,12948
1882,4,23027
1883,2,12948
1884,2,12100
1885,4,13100
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,2,15000
1895,2,15000
1896,0,0
1897,2,2000
1898,2,3685
1899,0,0
1900,6,14803
1901,0,0
1902,0,0
1903,0,0
1904,2,151831
1905,2,151831
1906,3,700
1907,3,700
1908,0,0
1909,2,10000
1910,2,10000
1911,2,20000
1912,5,137000
1913,5,231500
1914,8,18530258
1915,10,31253200
1916,11,42300924
1917,14,49378262
1918,15,44209028
1919,13,259920
1920,10,255024
1921,3,90000
1922,2,50000
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,2,3200
1930,0,0
1931,2,60000
1932,4,152661
1933,4,152661
1934,4,94761
1935,4,112661
1936,2,20000
1937,2,1000000
1938,3,1001726
1939,7,5023298
1940,15,
1941,19,75462128
1942,17,
1943,15,81416099
1944,18,
1945,17,
1946,0,0
1947,2,3500
1948,8,20500
1949,3,12000
1950,11,6147076
1951,17,11429697
1952,17,11429697
1953,17,11429697
1954,2,2370
1955,2,2370
1956,6,12441
1957,0,0
1958,2,1800
1959,0,0
1960,0,0
1961,0,0
1962,2,1853
1963,0,0
1964,0,0
1965,7,3124652
1966,6,3818591
1967,13,3847621
1968,8,3832091
1969,12,3839359
1970,10,3141859
1971,10,3147714
1972,7,3131091
1973,12,3158868
1974,5,
1975,6,956957
1976,4,2700
1977,4,17800
1978,7,20300
1979,6,33500
1980,2,1250000
1981,2,1250000
1982,6,1252656
1983,2,1250000
1984,2,1250000
1985,2,1250000
1986,2,1250000
1987,9,
1988,5,
1989,0,0
1990,0,0
1991,9,240460
1992,0,0
1993,2,14000
1994,2,14000
1995,0,0
1996,0,0
1997,0,0
1998,2,120000
1999,6,126174
2000,2,120000
2001,3,8002
2002,0,0
2003,4,21173
